player_id,player,birth_year,hof,num_seasons,first_season,last_season
287,Red Holzman,1920.0,True,6,1948-49,1953-54
288,Richie Niemiera,1921.0,False,2,1948-49,1949-50
289,Roy Pugh,,False,1,1948-49,1948-49
290,Tex Ritter,1924.0,False,3,1948-49,1950-51
291,Tom Kelly,,False,1,1948-49,1948-49
292,Walt Budko,1925.0,False,4,1948-49,1951-52
293,Walt Kirk,1924.0,False,3,1948-49,1951-52
294,Ward Williams,,False,1,1948-49,1948-49
295,Whitey Kachan,,False,1,1948-49,1948-49
296,Al Cervi,,True,4,1949-50,1952-53
297,Al Guokas,,False,1,1949-50,1949-50
298,Al Miksis,,False,1,1949-50,1949-50
299,Alex Groza,,False,2,1949-50,1950-51
300,Alex Hannum,,True,8,1949-50,1956-57
301,Andy O'Donnell,,False,1,1949-50,1949-50
302,Bill Closs,,False,3,1949-50,1951-52
303,Bill Gabor,,False,6,1949-50,1954-55
304,Bill Herman,,False,1,1949-50,1949-50
305,Billy Hassett,,False,2,1949-50,1950-51
306,Bob Brannum,,False,5,1949-50,1954-55
307,Bob Carpenter,,False,2,1949-50,1950-51
308,Bob Evans,,False,1,1949-50,1949-50
309,Bob Harris,,False,5,1949-50,1953-54
310,Bob Harrison,,False,9,1949-50,1957-58
311,Bob Royer,,False,1,1949-50,1949-50
312,Bob Wood,,False,1,1949-50,1949-50
313,Bobby Cook,,False,1,1949-50,1949-50
314,Brady Walker,1921.0,False,3,1949-50,1951-52
315,Bud Grant,,False,2,1949-50,1950-51
316,Carl Shaeffer,,False,2,1949-50,1950-51
317,Charley Shipp,,False,1,1949-50,1949-50
318,Charlie Parsley,,False,1,1949-50,1949-50
319,Chips Sobek,,False,1,1949-50,1949-50
320,Cliff Barker,,False,3,1949-50,1951-52
321,Clint Wager,,False,1,1949-50,1949-50
322,Dale Hamilton,,False,1,1949-50,1949-50
323,Danny Wagner,,False,1,1949-50,1949-50
324,Dee Gibson,,False,1,1949-50,1949-50
325,Dick McGuire,,True,11,1949-50,1959-60
326,Dick Mehen,,False,3,1949-50,1951-52
327,Dike Eddleman,,False,4,1949-50,1952-53
328,Dolph Schayes,,True,15,1949-50,1963-64
329,Don Boven,,False,3,1949-50,1952-53
330,Don Grate,,False,1,1949-50,1949-50
331,Don Otten,,False,4,1949-50,1952-53
332,Don Ray,,False,1,1949-50,1949-50
333,Duane Klueh,,False,2,1949-50,1950-51
334,Earl Dodd,,False,1,1949-50,1949-50
335,Ed Bartels,,False,2,1949-50,1950-51
336,Ed Leede,,False,2,1949-50,1950-51
337,Ed Macauley,,True,10,1949-50,1958-59
338,Ed Peterson,,False,2,1949-50,1950-51
339,Ed Stanczak,,False,2,1949-50,1950-51
340,Ernie Vandeweghe,,False,6,1949-50,1955-56
341,Floyd Volker,,False,1,1949-50,1949-50
342,Frank Gates,,False,1,1949-50,1949-50
343,Frank Kudelka,,False,4,1949-50,1952-53
344,Frankie Brian,,False,7,1949-50,1955-56
345,Fred Schaus,,False,5,1949-50,1953-54
346,Gene Berce,,False,1,1949-50,1949-50
347,Gene Englund,,False,1,1949-50,1949-50
348,Gene Ollrich,,False,1,1949-50,1949-50
349,George Feigenbaum,,False,2,1949-50,1952-53
350,George Ratkovicz,,False,6,1949-50,1954-55
351,Glen Selbo,,False,1,1949-50,1949-50
352,Harry Boykoff,,False,2,1949-50,1950-51
353,Harry Donovan,,False,1,1949-50,1949-50
354,Hook Dillon,,False,1,1949-50,1949-50
